0 "752,2,#e7e4e4,2",
1 "737,2,#e7e4e4,2",
2 "737,17,#e7e4e4,2",
3 "722,17,#e7e4e4,2",
4 "722,32,#e7e4e4,2",
5 "707,32,#e7e4e4,2",
6 "737,47,#e7e4e4,2",
7 "722,47,#e7e4e4,2",
8 "752,62,#e7e4e4,2",
9 "737,62,#e7e4e4,2",
10 "737,77,#e7e4e4,2",
11 "722,77,#e7e4e4,2",
12 "722,92,#e7e4e4,2",
13 "707,92,#e7e4e4,2",
14 "737,107,#e7e4e4,2",
15 "722,107,#e7e4e4,2",
16 "752,122,#e7e4e4,2",
17 "737,122,#e7e4e4,2",
18 "737,137,#e7e4e4,2",
19 "722,137,#e7e4e4,2",
20 "722,152,#e7e4e4,2",
21 "707,152,#e7e4e4,2",
22 "737,167,#e7e4e4,2",
23 "722,167,#e7e4e4,2",
24 "752,182,#e7e4e4,2",
25 "737,182,#e7e4e4,2",
26 "737,197,#e7e4e4,2",
27 "722,197,#e7e4e4,2",
28 "722,212,#e7e4e4,2",
29 "707,212,#e7e4e4,2",
30 "737,227,#e7e4e4,2",
31 "722,227,#e7e4e4,2",
32 "752,242,#e7e4e4,2",
33 "737,242,#e7e4e4,2",
34 "737,257,#e7e4e4,2",
35 "722,257,#e7e4e4,2",
36 "722,272,#e7e4e4,2",
37 "707,272,#e7e4e4,2",
38 "737,287,#e7e4e4,2",
39 "722,287,#e7e4e4,2",
40 "752,302,#e7e4e4,2",
41 "737,302,#e7e4e4,2",
42 "737,317,#e7e4e4,2",
43 "722,317,#e7e4e4,2",
44 "722,332,#e7e4e4,2",
45 "707,332,#e7e4e4,2",
46 "737,347,#e7e4e4,2",
47 "722,347,#e7e4e4,2",
48 "752,362,#e7e4e4,2",
49 "737,362,#e7e4e4,2",
50 "737,377,#e7e4e4,2",
51 "722,377,#e7e4e4,2",
52 "722,392,#e7e4e4,2",
53 "707,392,#e7e4e4,2",
54 "737,407,#e7e4e4,2",
55 "722,407,#e7e4e4,2",
56 "752,422,#e7e4e4,2",
57 "737,422,#e7e4e4,2",
58 "737,437,#e7e4e4,2",
59 "722,437,#e7e4e4,2",
60 "722,452,#e7e4e4,2",
61 "707,452,#e7e4e4,2",
62 "737,467,#e7e4e4,2",
63 "722,467,#e7e4e4,2",
64 "617,17,#343232,7",
65 "632,32,#343232,7",
66 "602,32,#343232,7",
67 "617,32,#343232,7",
68 "647,47,#343232,7",
69 "587,47,#343232,7",
70 "602,47,#343232,7",
71 "632,47,#343232,7",
72 "662,62,#343232,7",
73 "572,62,#343232,7",
74 "587,62,#343232,7",
75 "647,62,#343232,7",
76 "677,77,#343232,7",
77 "557,77,#343232,7",
78 "572,77,#343232,7",
79 "662,77,#343232,7",
80 "692,92,#343232,7",
81 "542,92,#343232,7",
82 "557,92,#343232,7",
83 "677,92,#343232,7",
84 "692,107,#343232,7",
85 "542,107,#343232,7",
86 "617,137,#343232,7",
87 "632,152,#343232,7",
88 "602,152,#343232,7",
89 "617,152,#343232,7",
90 "647,167,#343232,7",
91 "587,167,#343232,7",
92 "602,167,#343232,7",
93 "632,167,#343232,7",
94 "662,182,#343232,7",
95 "572,182,#343232,7",
96 "587,182,#343232,7",
97 "647,182,#343232,7",
98 "677,197,#343232,7",
99 "557,197,#343232,7",
100 "572,197,#343232,7",
101 "662,197,#343232,7",
102 "692,212,#343232,7",
